,subject,block,miniblock,category,eye_cond,img_path,audio_path
0,subj1,1,1,F,O,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
1,subj1,1,1,F,O,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
2,subj1,1,1,F,O,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
3,subj1,1,1,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
4,subj1,1,1,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
5,subj1,1,1,F,O,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
6,subj1,1,1,F,O,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
7,subj1,1,1,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
8,subj1,1,1,F,C,Stimuli/Images/Letters/U.jpg,Stimuli/Audio/Letters/U.wav
9,subj1,1,1,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
10,subj1,1,1,F,C,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
11,subj1,1,1,F,C,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
12,subj1,1,1,F,C,Stimuli/Images/Letters/W.jpg,Stimuli/Audio/Letters/W.wav
13,subj1,1,1,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
14,subj1,1,1,F,C,Stimuli/Images/Letters/V.jpg,Stimuli/Audio/Letters/V.wav
15,subj1,1,1,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
16,subj1,1,1,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
17,subj1,1,1,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
18,subj1,1,1,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
19,subj1,1,1,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
20,subj1,1,1,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
21,subj1,1,1,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
22,subj1,1,1,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
23,subj1,1,1,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
24,subj1,1,1,L,C,Stimuli/Images/People/Neil_DeGrasse_Tyson.jpg,Stimuli/Audio/People/Neil_DeGrasse_Tyson.wav
25,subj1,1,1,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
26,subj1,1,1,L,C,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
27,subj1,1,1,L,C,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
28,subj1,1,1,L,C,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
29,subj1,1,1,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
30,subj1,1,1,L,C,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
31,subj1,1,1,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
32,subj1,1,2,F,C,Stimuli/Images/Letters/U.jpg,Stimuli/Audio/Letters/U.wav
33,subj1,1,2,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
34,subj1,1,2,F,C,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
35,subj1,1,2,F,C,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
36,subj1,1,2,F,C,Stimuli/Images/Letters/W.jpg,Stimuli/Audio/Letters/W.wav
37,subj1,1,2,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
38,subj1,1,2,F,C,Stimuli/Images/Letters/V.jpg,Stimuli/Audio/Letters/V.wav
39,subj1,1,2,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
40,subj1,1,2,F,O,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
41,subj1,1,2,F,O,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
42,subj1,1,2,F,O,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
43,subj1,1,2,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
44,subj1,1,2,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
45,subj1,1,2,F,O,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
46,subj1,1,2,F,O,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
47,subj1,1,2,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
48,subj1,1,2,L,C,Stimuli/Images/People/Neil_DeGrasse_Tyson.jpg,Stimuli/Audio/People/Neil_DeGrasse_Tyson.wav
49,subj1,1,2,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
50,subj1,1,2,L,C,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
51,subj1,1,2,L,C,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
52,subj1,1,2,L,C,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
53,subj1,1,2,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
54,subj1,1,2,L,C,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
55,subj1,1,2,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
56,subj1,1,2,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
57,subj1,1,2,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
58,subj1,1,2,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
59,subj1,1,2,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
60,subj1,1,2,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
61,subj1,1,2,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
62,subj1,1,2,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
63,subj1,1,2,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
64,subj1,1,3,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
65,subj1,1,3,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
66,subj1,1,3,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
67,subj1,1,3,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
68,subj1,1,3,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
69,subj1,1,3,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
70,subj1,1,3,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
71,subj1,1,3,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
72,subj1,1,3,L,C,Stimuli/Images/People/Neil_DeGrasse_Tyson.jpg,Stimuli/Audio/People/Neil_DeGrasse_Tyson.wav
73,subj1,1,3,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
74,subj1,1,3,L,C,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
75,subj1,1,3,L,C,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
76,subj1,1,3,L,C,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
77,subj1,1,3,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
78,subj1,1,3,L,C,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
79,subj1,1,3,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
80,subj1,1,3,F,O,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
81,subj1,1,3,F,O,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
82,subj1,1,3,F,O,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
83,subj1,1,3,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
84,subj1,1,3,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
85,subj1,1,3,F,O,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
86,subj1,1,3,F,O,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
87,subj1,1,3,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
88,subj1,1,3,F,C,Stimuli/Images/Letters/U.jpg,Stimuli/Audio/Letters/U.wav
89,subj1,1,3,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
90,subj1,1,3,F,C,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
91,subj1,1,3,F,C,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
92,subj1,1,3,F,C,Stimuli/Images/Letters/W.jpg,Stimuli/Audio/Letters/W.wav
93,subj1,1,3,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
94,subj1,1,3,F,C,Stimuli/Images/Letters/V.jpg,Stimuli/Audio/Letters/V.wav
95,subj1,1,3,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
96,subj1,1,4,L,C,Stimuli/Images/People/Neil_DeGrasse_Tyson.jpg,Stimuli/Audio/People/Neil_DeGrasse_Tyson.wav
97,subj1,1,4,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
98,subj1,1,4,L,C,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
99,subj1,1,4,L,C,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
100,subj1,1,4,L,C,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
101,subj1,1,4,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
102,subj1,1,4,L,C,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
103,subj1,1,4,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
104,subj1,1,4,L,O,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
105,subj1,1,4,L,O,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
106,subj1,1,4,L,O,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
107,subj1,1,4,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
108,subj1,1,4,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
109,subj1,1,4,L,O,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
110,subj1,1,4,L,O,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
111,subj1,1,4,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
112,subj1,1,4,F,C,Stimuli/Images/Letters/U.jpg,Stimuli/Audio/Letters/U.wav
113,subj1,1,4,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
114,subj1,1,4,F,C,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
115,subj1,1,4,F,C,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
116,subj1,1,4,F,C,Stimuli/Images/Letters/W.jpg,Stimuli/Audio/Letters/W.wav
117,subj1,1,4,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
118,subj1,1,4,F,C,Stimuli/Images/Letters/V.jpg,Stimuli/Audio/Letters/V.wav
119,subj1,1,4,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
120,subj1,1,4,F,O,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
121,subj1,1,4,F,O,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
122,subj1,1,4,F,O,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
123,subj1,1,4,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
124,subj1,1,4,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
125,subj1,1,4,F,O,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
126,subj1,1,4,F,O,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
127,subj1,1,4,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
128,subj1,2,5,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
129,subj1,2,5,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
130,subj1,2,5,F,O,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
131,subj1,2,5,F,O,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
132,subj1,2,5,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
133,subj1,2,5,F,O,Stimuli/Images/Letters/U.jpg,Stimuli/Audio/Letters/U.wav
134,subj1,2,5,F,O,Stimuli/Images/Letters/W.jpg,Stimuli/Audio/Letters/W.wav
135,subj1,2,5,F,O,Stimuli/Images/Letters/V.jpg,Stimuli/Audio/Letters/V.wav
136,subj1,2,5,F,C,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
137,subj1,2,5,F,C,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
138,subj1,2,5,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
139,subj1,2,5,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
140,subj1,2,5,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
141,subj1,2,5,F,C,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
142,subj1,2,5,F,C,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
143,subj1,2,5,F,C,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
144,subj1,2,5,L,O,Stimuli/Images/People/Dwayne_Johnson.jpg,Stimuli/Audio/People/Dwayne_Johnson.wav
145,subj1,2,5,L,O,Stimuli/Images/People/Mala_Murthy.jpg,Stimuli/Audio/People/Mala_Murthy.wav
146,subj1,2,5,L,O,Stimuli/Images/People/Chris_Evans.jpg,Stimuli/Audio/People/Chris_Evans.wav
147,subj1,2,5,L,O,Stimuli/Images/People/Greta_Thunberg.jpg,Stimuli/Audio/People/Greta_Thunberg.wav
148,subj1,2,5,L,O,Stimuli/Images/People/Justin_Bieber.jpg,Stimuli/Audio/People/Justin_Bieber.wav
149,subj1,2,5,L,O,Stimuli/Images/People/Neil_DeGrasse_Tyson.jpg,Stimuli/Audio/People/Neil_DeGrasse_Tyson.wav
150,subj1,2,5,L,O,Stimuli/Images/People/Rihanna.jpg,Stimuli/Audio/People/Rihanna.wav
151,subj1,2,5,L,O,Stimuli/Images/People/Oprah_Winfrey.jpg,Stimuli/Audio/People/Oprah_Winfrey.wav
152,subj1,2,5,L,C,Stimuli/Images/People/Michelle_Yeoh.jpg,Stimuli/Audio/People/Michelle_Yeoh.wav
153,subj1,2,5,L,C,Stimuli/Images/People/Hillary_Clinton.jpg,Stimuli/Audio/People/Hillary_Clinton.wav
154,subj1,2,5,L,C,Stimuli/Images/People/Ilana_Witten.jpg,Stimuli/Audio/People/Ilana_Witten.wav
155,subj1,2,5,L,C,Stimuli/Images/People/Barack_Obama.jpg,Stimuli/Audio/People/Barack_Obama.wav
156,subj1,2,5,L,C,Stimuli/Images/People/George_W_Bush.jpg,Stimuli/Audio/People/George_W_Bush.wav
157,subj1,2,5,L,C,Stimuli/Images/People/Angelina_Jolie.jpg,Stimuli/Audio/People/Angelina_Jolie.wav
158,subj1,2,5,L,C,Stimuli/Images/People/Sam_Wang.jpg,Stimuli/Audio/People/Sam_Wang.wav
159,subj1,2,5,L,C,Stimuli/Images/People/Tim_Buschman.jpg,Stimuli/Audio/People/Tim_Buschman.wav
160,subj1,2,6,F,C,Stimuli/Images/Letters/T.jpg,Stimuli/Audio/Letters/T.wav
161,subj1,2,6,F,C,Stimuli/Images/Letters/N.jpg,Stimuli/Audio/Letters/N.wav
162,subj1,2,6,F,C,Stimuli/Images/Letters/Q.jpg,Stimuli/Audio/Letters/Q.wav
163,subj1,2,6,F,C,Stimuli/Images/Letters/B.jpg,Stimuli/Audio/Letters/B.wav
164,subj1,2,6,F,C,Stimuli/Images/Letters/L.jpg,Stimuli/Audio/Letters/L.wav
165,subj1,2,6,F,C,Stimuli/Images/Letters/A.jpg,Stimuli/Audio/Letters/A.wav
166,subj1,2,6,F,C,Stimuli/Images/Letters/Y.jpg,Stimuli/Audio/Letters/Y.wav
167,subj1,2,6,F,C,Stimuli/Images/Letters/Z.jpg,Stimuli/Audio/Letters/Z.wav
168,subj1,2,6,F,O,Stimuli/Images/Letters/G.jpg,Stimuli/Audio/Letters/G.wav
169,subj1,2,6,F,O,Stimuli/Images/Letters/S.jpg,Stimuli/Audio/Letters/S.wav
170,subj1,2,6,F,O,Stimuli/Images/Letters/F.jpg,Stimuli/Audio/Letters/F.wav
171,subj1,2,6,F,O,Stimuli/Images/Letters/M.jpg,Stimuli/Audio/Letters/M.wav
172,subj1,2,6,F,O,Stimuli/Images/Letters/R.jpg,Stimuli/Audio/Letters/R.wav
